Apennines,Imbrium basin rim,18.9N,3.7W
Rümker,Large volcanic dome,40.8N,58.1W
Imbrium sculpture,Basin ejecta near & overlying Boscovich & Julius Caesar,11.0N,12.0E
Descartes,Apollo 16 landing site; putative region of highland volcanism,11.7S,15.7E
Hortensius domes,Dome field north of Hortensius,7.6N,27.9W
Hadley Rille,Lava channel near Apollo 15 landing site,25.0N,3.0E
Fra Mauro formation,Apollo 14 landing site on Imbrium ejecta,3.6S,17.5W
Flamsteed P,Proposed young volcanic crater & Surveyor 1 landing site,3.0S,44.0W
Copernicus secondary craters,Rays & craterlets near Pytheas,19.6N,19.1W
Humboldtianum basin,Multi-ring impact basin,57.0N,80.0E
Sulpicius Gallus dark mantle,Ash eruptions northwest of crater,19.6N,11.6E
Atlas dark-halo craters,Explosive volcanic pits on the floor of Atlas,46.7N,44.4E
Smythii basin,Difficult-to-observe basin scarp & mare,2.0S,87.0E
Copernicus H,Dark-halo impact crater,6.9N,18.3W
Ptolemaeus B,Saucer like depression on the floor of Ptolemaeus,8.0S,0.8W
W. Bond,Large crater degraded by Imbrium ejecta,65.3N,3.7E
Sirsalis Rille,Procellarum basin radial rilles,15.7S,61.7W
Lambert R,A buried ghost crater,23.8N,20.6W
Sinus Aestuum,Eastern dark-mantle volcanic deposit,12.0N,3.5W
Orientale basin,Youngest large impact basin,19.0S,95.0W
Hesiodus A,Concentric crater,30.1S,17.0W
Linné,Small crater once thought to have disappeared,27.7N,11.8E
Plato craterlets,Crater pits at limits of detection,51.6N,9.4W
Pitatus,Crater with concentric rilles,29.8S,13.5W
Langrenus rays,Aged ray system,8.9S,60.9E
Prinz Rilles,Rille system near the crater Prinz,27.0N,43.0W
Humboldt,Crater with central peaks & dark spots,27.0S,80.9E
Peary,Difficult-to-observe polar crater,88.6N,33.0E
Valentine Dome,Volcanic dome,30.5N,10.1E
Armstrong Aldrin & Collins,Small craters near the Apollo 11 landing site,1.3N,23.7E
De Gasparis Rilles,Area with many rilles,25.9S,50.7W
Gylden Valley,Part of the Imbrium radial sculpture,5.1S,0.7E
Dionysius rays,Unusual & rare dark rays,2.8N,17.3E
Drygalski,Large south-pole region crater,79.3S,84.9W
Procellarum basin,The Moon's biggest basin?,23.0N,15.0W
Leibnitz Mountains,Rim of South Pole-Aitken basin,85.0S,30.0E
Inghirami Valley,Orientale basin ejecta,44.0S,73.0W
Imbrium lava flows,Mare lava-flow boundaries,32.8N,22.0W
Ina,D-shaped young volcanic caldera,18.6N,5.3E
Mare Marginis swirls,Possible magnetic field deposits,18.5N,88.0E
